chr	start	stop
ENSMUSG00000028093	chr3	97066080	97086583
ENSMUSG00000028089	chr3	97467399	97517569
ENSMUSG00000028088	chr3	97531564	97562598
ENSMUSG00000027879	chr3	97808499	97830592
ENSMUSG00000027878	chr3	97920800	98057677
ENSMUSG00000027875	chr3	98187537	98218054
ENSMUSG00000053398	chr3	98220484	98255047
ENSMUSG00000027870	chr3	98779164	98802824
ENSMUSG00000033285	chr3	100044266	100070252
ENSMUSG00000027865	chr3	100069697	100117908
ENSMUSG00000008763	chr3	100449283	100593317
ENSMUSG00000027864	chr3	100947548	101017720
ENSMUSG00000033161	chr3	101483535	101512470
ENSMUSG00000027860	chr3	102060899	102112057
ENSMUSG00000027854	chr3	102902892	102915775
ENSMUSG00000027852	chr3	102965601	102976171
ENSMUSG00000007379	chr3	103009362	103077088
ENSMUSG00000033014	chr3	103186609	103266912
ENSMUSG00000027848	chr3	103629538	103645322
ENSMUSG00000008730	chr3	103647128	103699901
ENSMUSG00000052539	chr3	103920556	104127736
ENSMUSG00000032913	chr3	104303734	104419249
ENSMUSG00000032902	chr3	104545811	104565780
ENSMUSG00000027905	chr3	105585586	105600755
ENSMUSG00000027900	chr3	106454446	106483357
ENSMUSG00000056260	chr3	106592260	106644337
ENSMUSG00000027896	chr3	107198532	107219864
ENSMUSG00000014603	chr3	107502347	107513192
ENSMUSG00000014601	chr3	107519840	107539138
ENSMUSG00000027893	chr3	107562255	107603950
ENSMUSG00000014599	chr3	107648364	107667806
ENSMUSG00000027889	chr3	107981373	107994224
ENSMUSG00000027887	chr3	108118788	108134027
ENSMUSG00000027884	chr3	108561195	108590801
ENSMUSG00000027882	chr3	108700489	108747919
ENSMUSG00000027881	chr3	108808326	108819067
ENSMUSG00000033721	chr3	109247656	109593015
ENSMUSG00000027981	chr3	113396372	113423798
ENSMUSG00000033554	chr3	115667675	115736029
ENSMUSG00000054426	chr3	115675222	115681794
ENSMUSG00000054414	chr3	115732621	115801060
ENSMUSG00000027962	chr3	115903598	115923355
ENSMUSG00000033502	chr3	116066201	116222394
ENSMUSG00000033439	chr3	116374411	116408236
ENSMUSG00000027959	chr3	116388568	116424653
ENSMUSG00000027957	chr3	116460927	116506480
ENSMUSG00000033400	chr3	116533648	116601917
ENSMUSG00000033386	chr3	116653113	116701826
ENSMUSG00000033377	chr3	116711324	116762691
ENSMUSG00000028007	chr3	117573496	117662943
ENSMUSG00000033308	chr3	118355778	119226573
ENSMUSG00000028134	chr3	119509386	119578115
ENSMUSG00000053931	chr3	121220146	121251856
ENSMUSG00000028128	chr3	121516610	121528820
ENSMUSG00000028127	chr3	121552423	121609141
ENSMUSG00000028124	chr3	122039126	122065061
ENSMUSG00000028121	chr3	122086241	122332834
ENSMUSG00000053965	chr3	122522594	122653023
ENSMUSG00000054091	chr3	122717852	122719833
ENSMUSG00000028114	chr3	123154348	123179757
ENSMUSG00000053819	chr3	126389945	126639982
ENSMUSG00000032826	chr3	126715261	127292999
ENSMUSG00000027968	chr3	127329247	127347017
ENSMUSG00000028028	chr3	127463323	127574176
ENSMUSG00000028023	chr3	128993527	129013240
ENSMUSG00000028024	chr3	129062824	129126369
ENSMUSG00000028017	chr3	129470410	129549093
ENSMUSG00000028010	chr3	129618560	129625045
ENSMUSG00000027999	chr3	129672211	129690319
ENSMUSG00000027997	chr3	129695069	129707752
ENSMUSG00000027994	chr3	129707425	129763869
ENSMUSG00000027985	chr3	130903919	131018005
ENSMUSG00000027984	chr3	131027068	131065750
ENSMUSG00000028032	chr3	131270491	131349434
ENSMUSG00000028031	chr3	131790336	131886065
ENSMUSG00000028029	chr3	132366242	132390131
ENSMUSG00000028030	chr3	132389868	132547890
ENSMUSG00000028018	chr3	132687513	132797914
ENSMUSG00000028016	chr3	132797589	132816749
ENSMUSG00000028013	chr3	133015823	133085200
ENSMUSG00000028167	chr3	134986982	135010187
ENSMUSG00000028165	chr3	135112171	135129686
ENSMUSG00000028164	chr3	135191125	135278908
ENSMUSG00000028163	chr3	135290264	135397742
ENSMUSG00000053897	chr3	135531040	135594333
ENSMUSG00000028161	chr3	136375445	136643491
ENSMUSG00000054690	chr3	137046794	137138999
ENSMUSG00000028159	chr3	137636762	137687335
ENSMUSG00000028158	chr3	137795612	137850729
ENSMUSG00000028138	chr3	138148828	138161260
ENSMUSG00000028156	chr3	138231936	138265457
ENSMUSG00000028152	chr3	138447922	138637056
ENSMUSG00000028149	chr3	138631658	138781174
ENSMUSG00000052430	chr3	141542897	141875323
ENSMUSG00000028273	chr3	141945345	142101830
ENSMUSG00000028268	chr3	142265731	142278979
ENSMUSG00000028270	chr3	142326349	142343779
ENSMUSG00000028271	chr3	142470806	142489368
ENSMUSG00000028266	chr3	143894143	143911774
ENSMUSG00000056025	chr3	144435438	144466738
ENSMUSG00000028256	chr3	144824296	144860157
ENSMUSG00000028197	chr3	144998233	145257766
ENSMUSG00000028195	chr3	145352720	145355738
ENSMUSG00000028194	chr3	145464361	145600032
ENSMUSG00000028191	chr3	145628559	145641006
ENSMUSG00000028189	chr3	146155550	146174064
ENSMUSG00000028188	chr3	146162567	146206316
ENSMUSG00000028187	chr3	146208926	146227206
ENSMUSG00000028184	chr3	148518957	148696229
ENSMUSG00000028037	chr3	151436559	151455625
ENSMUSG00000028035	chr3	151884148	151916665
ENSMUSG00000028034	chr3	151915537	151942469
ENSMUSG00000054942	chr3	151979102	152052058
ENSMUSG00000025437	chr3	152045641	152099254
ENSMUSG00000052544	chr3	152903903	153430816
ENSMUSG00000028199	chr3	154290188	154330784
ENSMUSG00000028180	chr3	157239745	157254121
ENSMUSG00000028179	chr3	157599868	157630739
ENSMUSG00000055436	chr3	157716110	157742310
ENSMUSG00000028173	chr3	159545287	159644557
ENSMUSG00000028232	chr4	3549038	3575165
ENSMUSG00000028233	chr4	3574579	3618325
ENSMUSG00000028234	chr4	3792164	3835669
ENSMUSG00000028243	chr4	6191007	6221688
ENSMUSG00000028249	chr4	6365547	6408848
ENSMUSG00000028245	chr4	6396190	6454343
ENSMUSG00000028207	chr4	9448069	9669357
ENSMUSG00000028211	chr4	11156412	11175230
ENSMUSG00000028214	chr4	11704343	11714993
ENSMUSG00000028218	chr4	12100410	12172031
ENSMUSG00000055963	chr4	12906803	12983553
ENSMUSG00000006586	chr4	13743165	13893649
ENSMUSG00000028221	chr4	14864000	14915507
ENSMUSG00000028223	chr4	15912432	15945649
ENSMUSG00000028224	chr4	15957896	15993588
ENSMUSG00000028226	chr4	17852844	18125390
ENSMUSG00000028228	chr4	19519249	19570122
ENSMUSG00000028229	chr4	19575049	19609068
ENSMUSG00000055761	chr4	20111115	20778866
ENSMUSG00000028252	chr4	21727640	21759922
ENSMUSG00000028248	chr4	21847580	21878215
ENSMUSG00000028247	chr4	21879624	21913961
ENSMUSG00000028261	chr4	24898079	24905001
ENSMUSG00000055373	chr4	25609332	25800427
ENSMUSG00000028289	chr4	28813034	28967507
ENSMUSG00000028284	chr4	31963864	32051628
ENSMUSG00000028282	chr4	32615429	32653265
ENSMUSG00000028278	chr4	32982984	33025899
ENSMUSG00000028277	chr4	33031369	33052363
ENSMUSG00000028274	chr4	33310307	33502614
ENSMUSG00000028291	chr4	34550901	34573348
ENSMUSG00000028292	chr4	34614638	34660904
ENSMUSG00000028293	chr4	34663244	34687461
ENSMUSG00000028295	chr4	34767227	34778423
ENSMUSG00000028300	chr4	35191282	35226186
ENSMUSG00000028405	chr4	40142998	40199010
ENSMUSG00000028407	chr4	40269564	40271879
ENSMUSG00000028411	chr4	40651532	40703197
ENSMUSG00000028410	chr4	40722056	40737149
ENSMUSG00000028409	chr4	40724205	40757923
ENSMUSG00000028413	chr4	40804602	40854046
ENSMUSG00000028416	chr4	40934152	40948318
ENSMUSG00000028419	chr4	40947737	40965719
ENSMUSG00000028423	chr4	40970906	41028758
ENSMUSG00000028435	chr4	41092722	41098183
ENSMUSG00000028430	chr4	41113617	41124471
ENSMUSG00000028433	chr4	41194309	41275367
ENSMUSG00000028436	chr4	41281615	41314938
ENSMUSG00000028437	chr4	41348993	41390525
ENSMUSG00000028438	chr4	41389632	41464901
ENSMUSG00000028443	chr4	41465060	41485231
ENSMUSG00000028439	chr4	41517690	41569588
ENSMUSG00000028445	chr4	41638144	41640376
ENSMUSG00000028444	chr4	41657498	41697089
ENSMUSG00000028447	chr4	41714797	41723209
ENSMUSG00000028452	chr4	42979412	43000527
ENSMUSG00000028455	chr4	43026021	43031710
ENSMUSG00000028456	chr4	43058940	43264885
ENSMUSG00000028458	chr4	43441939	43451681
ENSMUSG00000028459	chr4	43446431	43455129
ENSMUSG00000028461	chr4	43492900	43496390
ENSMUSG00000028464	chr4	43514697	43524949
ENSMUSG00000028465	chr4	43531513	43562691
ENSMUSG00000028466	chr4	43557639	43577647
ENSMUSG00000028468	chr4	43578710	43587487
ENSMUSG00000028470	chr4	43653896	43656481
ENSMUSG00000028476	chr4	43875514	43944806
ENSMUSG00000028480	chr4	43957401	43979118
ENSMUSG00000028478	chr4	44004439	44034394
ENSMUSG00000028479	chr4	44034074	44084187
ENSMUSG00000028322	chr4	45316173	45342732
ENSMUSG00000035495	chr4	46114732	46138725
ENSMUSG00000028330	chr4	46138458	46175268
ENSMUSG00000028329	chr4	46154887	46196600
ENSMUSG00000028333	chr4	46450872	46472661
ENSMUSG00000028334	chr4	46489248	46503632
ENSMUSG00000028339	chr4	47207582	47313179
ENSMUSG00000007613	chr4	47353134	47414931
ENSMUSG00000053317	chr4	47474614	47483864
ENSMUSG00000028341	chr4	48045153	48086447
ENSMUSG00000028343	chr4	48190717	48280022
ENSMUSG00000028344	chr4	48279760	48431957
ENSMUSG00000028345	chr4	48427432	48473525
ENSMUSG00000028347	chr4	48584869	48663136
ENSMUSG00000028307	chr4	49535978	49549546
ENSMUSG00000028309	chr4	49632006	49656892
ENSMUSG00000028312	chr4	52439214	52488264
ENSMUSG00000015247	chr4	53011880	53024125
ENSMUSG00000015243	chr4	53030787	53159900
ENSMUSG00000028412	chr4	53440223	53622479
ENSMUSG00000054752	chr4	53631303	53707010
ENSMUSG00000028414	chr4	53713904	53777901
ENSMUSG00000028420	chr4	53825984	53862026
ENSMUSG00000028426	chr4	55349979	55392237
ENSMUSG00000028431	chr4	56746557	56802572
ENSMUSG00000055296	chr4	56866923	56947447
ENSMUSG00000028367	chr4	57934208	57956424
ENSMUSG00000028369	chr4	58042442	58206859
ENSMUSG00000028378	chr4	58965203	58987131
ENSMUSG00000028381	chr4	59189035	59222845
ENSMUSG00000028382	chr4	59471868	59549371
ENSMUSG00000028383	chr4	59580810	59618694
ENSMUSG00000028385	chr4	59805750	59904739
ENSMUSG00000028392	chr4	62398268	62415535
ENSMUSG00000028393	chr4	62423283	62438587
ENSMUSG00000028394	chr4	62439288	62443632
ENSMUSG00000028358	chr4	62883405	63057949
ENSMUSG00000028357	chr4	63083867	63090376
ENSMUSG00000028364	chr4	63878014	63965443
ENSMUSG00000028370	chr4	65042411	65275746
ENSMUSG00000028373	chr4	65299040	66322848
ENSMUSG00000008305	chr4	72030376	72119280
ENSMUSG00000028397	chr4	74160734	74324757
ENSMUSG00000028398	chr4	75192314	75196575
ENSMUSG00000028399	chr4	75859475	78130198
ENSMUSG00000028402	chr4	81196710	81371541
ENSMUSG00000008575	chr4	82208410	82623987
ENSMUSG00000028403	chr4	82716848	82778195
ENSMUSG00000028483	chr4	83335947	83387434
ENSMUSG00000028484	chr4	83341129	83404904
ENSMUSG00000052407	chr4	83443626	83784379
ENSMUSG00000028487	chr4	84193332	84593512
ENSMUSG00000028488	chr4	85123358	85557432
ENSMUSG00000028494	chr4	86565912	86588459
ENSMUSG00000028495	chr4	86748406	86775674
ENSMUSG00000028496	chr4	87687837	87951610
ENSMUSG00000028497	chr4	88314381	88357202
ENSMUSG00000028578	chr4	94387415	94445042
ENSMUSG00000028577	chr4	94453373	94491703
ENSMUSG00000028576	chr4	94502652	94584411
ENSMUSG00000052767	chr4	94918200	94936607
ENSMUSG00000052684	chr4	94937271	94940459
ENSMUSG00000028573	chr4	95445698	95815188
ENSMUSG00000028572	chr4	95855418	95913651
ENSMUSG00000052914	chr4	96404375	96441935
ENSMUSG00000015224	chr4	96445637	96479941
ENSMUSG00000052520	chr4	96516753	96552451
ENSMUSG00000028565	chr4	97660971	98007111
ENSMUSG00000028563	chr4	98243603	98271543
ENSMUSG00000035407	chr4	98643135	98705943
ENSMUSG00000028560	chr4	98811878	98823780
ENSMUSG00000028556	chr4	98823857	99009199
ENSMUSG00000028553	chr4	98919145	98934348
ENSMUSG00000028550	chr4	99082118	99171179
ENSMUSG00000028549	chr4	99650941	99787010
ENSMUSG00000025791	chr4	99786394	99844492
ENSMUSG00000035305	chr4	99952988	100301990
ENSMUSG00000028532	chr4	100633866	100886417
ENSMUSG00000028530	chr4	101008838	101122487
ENSMUSG00000028527	chr4	101276265	101324968
ENSMUSG00000028528	chr4	101353743	101502342
ENSMUSG00000035212	chr4	101504482	101516597
ENSMUSG00000028525	chr4	101944740	102465716
ENSMUSG00000028524	chr4	102598494	102834605
ENSMUSG00000028522	chr4	102971587	103022951
ENSMUSG00000028521	chr4	103027846	103072586
ENSMUSG00000035069	chr4	103170737	103229065
ENSMUSG00000028519	chr4	103476556	104602041
ENSMUSG00000028518	chr4	104886845	104967102
ENSMUSG00000028517	chr4	105014421	105089964
ENSMUSG00000028514	chr4	106173176	106305586
ENSMUSG00000034926	chr4	106418225	106446310
ENSMUSG00000025413	chr4	106518412	106536156
ENSMUSG00000034871	chr4	106591081	106610587
ENSMUSG00000028622	chr4	106912099	106924560
ENSMUSG00000028619	chr4	106991352	107036669
ENSMUSG00000028618	chr4	107035567	107058198
ENSMUSG00000028617	chr4	107090711	107110740
ENSMUSG00000034785	chr4	107148662	107164366
ENSMUSG00000028614	chr4	107224973	107273544
ENSMUSG00000034762	chr4	107291788	107492258
ENSMUSG00000028609	chr4	107736943	107744621
ENSMUSG00000028608	chr4	107747005	107756695
ENSMUSG00000028607	chr4	107751473	107780812
ENSMUSG00000028600	chr4	107871988	107889534
ENSMUSG00000028603	chr4	107901025	108002195
ENSMUSG00000028601	chr4	108022439	108036510
ENSMUSG00000034636	chr4	108086921	108158327
ENSMUSG00000028597	chr4	108257583	108264158
ENSMUSG00000034610	chr4	108316587	108418927
ENSMUSG00000028582	chr4	108476527	108492884
ENSMUSG00000034557	chr4	108488182	108638098
ENSMUSG00000028568	chr4	108671492	108691486
ENSMUSG00000028567	chr4	108691574	108719847
ENSMUSG00000053510	chr4	108857804	108924256
ENSMUSG00000028559	chr4	108918342	109059480
ENSMUSG00000028552	chr4	109137367	109245014
ENSMUSG00000028557	chr4	109301926	109341925
ENSMUSG00000028551	chr4	109517957	109524386
ENSMUSG00000010517	chr4	109533616	109822845
ENSMUSG00000028546	chr4	110060810	110209142
ENSMUSG00000028545	chr4	111272125	111317495
ENSMUSG00000034401	chr4	111577133	111690054
ENSMUSG00000028544	chr4	111732572	111760115
ENSMUSG00000028719	chr4	114802024	114844454
ENSMUSG00000028718	chr4	114857354	114900952
ENSMUSG00000028716	chr4	114945905	114951096
ENSMUSG00000028715	chr4	115343397	115353344
ENSMUSG00000028712	chr4	115420818	115436212
ENSMUSG00000028713	chr4	115476281	115504999
ENSMUSG00000034210	chr4	115594936	115634589
ENSMUSG00000028710	chr4	115641986	115679852
ENSMUSG00000028709	chr4	115685246	115693382
ENSMUSG00000028708	chr4	115696372	115736456
ENSMUSG00000034171	chr4	115824342	115875423
ENSMUSG00000028706	chr4	115890039	115911073
ENSMUSG00000028703	chr4	115932466	115954304
ENSMUSG00000028700	chr4	115980970	116017129
ENSMUSG00000028698	chr4	116078393	116160255
ENSMUSG00000034042	chr4	116414776	116451096
ENSMUSG00000028693	chr4	116458246	116485215
ENSMUSG00000028692	chr4	116493703	116516804
ENSMUSG00000028691	chr4	116532123	116558398
ENSMUSG00000028689	chr4	116565665	116608403
ENSMUSG00000033985	chr4	116578115	116663153
ENSMUSG00000028688	chr4	116651288	116664921
ENSMUSG00000033948	chr4	116734435	116848279
ENSMUSG00000028684	chr4	116844840	116851610
ENSMUSG00000028683	chr4	116876588	116945947
ENSMUSG00000028680	chr4	116985852	116991226
ENSMUSG00000028677	chr4	117128659	117354273
ENSMUSG00000033423	chr4	117407518	117574943
ENSMUSG00000009640	chr4	117528132	117539482
ENSMUSG00000033379	chr4	117741522	117744567
ENSMUSG00000028538	chr4	117789348	117992380
ENSMUSG00000033326	chr4	117994154	118037251
ENSMUSG00000033295	chr4	118065042	118148627
ENSMUSG00000033253	chr4	118218984	118266479
ENSMUSG00000033191	chr4	118328385	118347261
ENSMUSG00000028536	chr4	118384196	118387425
ENSMUSG00000028729	chr4	118477794	118492185
ENSMUSG00000028645	chr4	118965908	118996365
ENSMUSG00000028643	chr4	119052503	119058495
ENSMUSG00000028641	chr4	119089974	119106174
ENSMUSG00000028639	chr4	119134524	119151950
ENSMUSG00000028636	chr4	119275724	119279628
ENSMUSG00000032998	chr4	119394201	119486319
ENSMUSG00000032978	chr4	119513802	119516151
ENSMUSG00000028634	chr4	119590981	119995242
ENSMUSG00000028633	chr4	120395395	120471131
ENSMUSG00000032897	chr4	120614632	120688769
ENSMUSG00000032870	chr4	120825504	120874485
ENSMUSG00000028657	chr4	122730010	122754948
ENSMUSG00000028656	chr4	122752832	122779903
ENSMUSG00000028653	chr4	122910335	122948766
ENSMUSG00000028651	chr4	123017508	123033786
ENSMUSG00000011257	chr4	123156144	123192720
ENSMUSG00000028649	chr4	123243384	123581331
ENSMUSG00000028648	chr4	123606481	123612002
ENSMUSG00000028647	chr4	123798625	123810751
ENSMUSG00000028646	chr4	123811217	123830793
ENSMUSG00000028907	chr4	124571174	124587393
ENSMUSG00000028902	chr4	124608569	124626253
ENSMUSG00000028894	chr4	124635573	124695306
ENSMUSG00000028890	chr4	124695897	124743593
ENSMUSG00000028889	chr4	124743888	124749040
ENSMUSG00000028873	chr4	124812257	124833104
ENSMUSG00000028869	chr4	124910378	124949177
ENSMUSG00000028863	chr4	124978889	125010762
ENSMUSG00000028861	chr4	125940711	125950292
ENSMUSG00000028849	chr4	126123036	126150302
ENSMUSG00000028847	chr4	126156118	126169676
ENSMUSG00000028842	chr4	126225496	126323362
ENSMUSG00000028837	chr4	126571423	126606667
ENSMUSG00000028830	chr4	126645969	126764304
ENSMUSG00000028820	chr4	126915079	126930806
ENSMUSG00000028796	chr4	128548459	128648100
ENSMUSG00000028799	chr4	128666879	128700374
ENSMUSG00000028792	chr4	128885751	128905322
ENSMUSG00000028793	chr4	128951844	128979679
ENSMUSG00000028811	chr4	129082752	129114906
ENSMUSG00000028800	chr4	129409895	129436631
ENSMUSG00000028798	chr4	129485753	129494849
ENSMUSG00000028797	chr4	129494461	129526813
ENSMUSG00000028795	chr4	129513064	129517931
ENSMUSG00000053841	chr4	129519871	129534871
ENSMUSG00000053730	chr4	129570142	129590652
ENSMUSG00000028790	chr4	129594392	129636173
ENSMUSG00000028788	chr4	129705012	129744185
ENSMUSG00000028779	chr4	129996351	130021930
ENSMUSG00000028776	chr4	130058247	130069509
ENSMUSG00000028773	chr4	130202388	130209259
ENSMUSG00000028772	chr4	130206184	130253817
ENSMUSG00000028580	chr4	130390404	130510417
ENSMUSG00000025743	chr4	130519826	130556217
ENSMUSG00000028581	chr4	130638161	130663452
ENSMUSG00000028909	chr4	131495696	131565650
ENSMUSG00000028910	chr4	131570742	131595442
ENSMUSG00000028911	chr4	131600816	131630471
ENSMUSG00000028906	chr4	131650724	131802632
ENSMUSG00000028901	chr4	131948336	131988945
ENSMUSG00000028899	chr4	132001628	132023082
ENSMUSG00000028898	chr4	132039074	132058229
ENSMUSG00000028896	chr4	132059229	132081043
ENSMUSG00000028893	chr4	132219335	132237815
ENSMUSG00000054428	chr4	132257215	132262823
ENSMUSG00000054405	chr4	132262846	132281061
ENSMUSG00000056529	chr4	132291363	132309994
ENSMUSG00000028886	chr4	132366298	132452219
ENSMUSG00000028885	chr4	132460276	132484570
ENSMUSG00000028884	chr4	132495643	132506063
ENSMUSG00000028882	chr4	132554123	132570513
ENSMUSG00000028879	chr4	132579374	132611831
ENSMUSG00000028878	chr4	132626521	132649979
ENSMUSG00000028868	chr4	132844495	132927067
ENSMUSG00000028857	chr4	132993356	133005233
ENSMUSG00000028854	chr4	133097014	133152176
ENSMUSG00000028851	chr4	133259081	133273344
ENSMUSG00000028850	chr4	133302040	133311554
ENSMUSG00000007880	chr4	133406304	133484080
ENSMUSG00000012117	chr4	133696339	133728259
ENSMUSG00000028843	chr4	133854717	133856108
ENSMUSG00000028840	chr4	133970600	133972910
ENSMUSG00000028834	chr4	134042393	134056948
ENSMUSG00000028832	chr4	134195021	134201882
ENSMUSG00000028826	chr4	134530070	134581272
ENSMUSG00000028822	chr4	134622822	134645747
ENSMUSG00000028821	chr4	134658181	134664864
ENSMUSG00000028809	chr4	135046676	135080632
ENSMUSG00000028803	chr4	135172731	135222349
ENSMUSG00000028676	chr4	135583043	135602548
ENSMUSG00000028675	chr4	135597733	135601389
ENSMUSG00000028673	chr4	135648004	135668235
ENSMUSG00000028672	chr4	135673757	135689928
ENSMUSG00000028670	chr4	135695525	135700986
ENSMUSG00000028669	chr4	135702768	135714594
ENSMUSG00000028668	chr4	135730207	135749074
ENSMUSG00000007872	chr4	135870808	135873066
ENSMUSG00000028664	chr4	136374850	136563351
ENSMUSG00000006699	chr4	137047002	137101278
ENSMUSG00000028763	chr4	137196079	137298231
ENSMUSG00000028766	chr4	137469039	137524102
ENSMUSG00000028760	chr4	137720333	137935819
ENSMUSG00000028759	chr4	137943536	137971994
ENSMUSG00000028757	chr4	138032018	138040859
ENSMUSG00000028756	chr4	138039346	138053618
ENSMUSG00000028755	chr4	138065735	138095371
ENSMUSG00000028745	chr4	138920210	139019142
ENSMUSG00000028744	chr4	139021331	139038027
ENSMUSG00000028743	chr4	139038021	139046813
ENSMUSG00000028741	chr4	139074746	139079922
ENSMUSG00000028737	chr4	139350146	139377003
ENSMUSG00000009863	chr4	140688502	140709380
ENSMUSG00000028923	chr4	140793822	140805696
ENSMUSG00000028920	chr4	140875223	140931377
ENSMUSG00000028917	chr4	141353040	141392210
ENSMUSG00000028914	chr4	141520923	141546508
ENSMUSG00000028583	chr4	142990871	143026143
ENSMUSG00000028599	chr4	144938938	144973477
ENSMUSG00000055401	chr4	148230170	148236643
ENSMUSG00000028991	chr4	148533015	148642141
ENSMUSG00000017264	chr4	148642855	148666858
ENSMUSG00000028977	chr4	148888788	149039346
ENSMUSG00000028975	chr4	149044992	149184335
ENSMUSG00000028974	chr4	149188597	149205107
ENSMUSG00000028961	chr4	149233246	149251228
ENSMUSG00000028960	chr4	149412873	149511206
ENSMUSG00000028992	chr4	149552026	149569680
ENSMUSG00000028990	chr4	149569673	149587979
ENSMUSG00000028988	chr4	149602584	149650902
ENSMUSG00000028982	chr4	149828491	149858751
ENSMUSG00000028980	chr4	150055676	150093559
ENSMUSG00000028976	chr4	150196268	150228931
ENSMUSG00000028967	chr4	150938376	150955402
ENSMUSG00000028964	chr4	150981579	150998903
ENSMUSG00000028957	chr4	151081373	151129140
ENSMUSG00000028955	chr4	151131757	151142433
ENSMUSG00000014592	chr4	151143978	151946333
ENSMUSG00000028948	chr4	152123768	152145951
ENSMUSG00000028943	chr4	152204788	152236887
ENSMUSG00000028937	chr4	152262136	152356313
ENSMUSG00000028936	chr4	152410150	152418542
ENSMUSG00000008307	chr5	3621554	3634356
ENSMUSG00000007415	chr5	3654757	3707185
ENSMUSG00000028926	chr5	4851602	5470312
ENSMUSG00000015653	chr5	5714829	5744678
ENSMUSG00000054099	chr5	8472804	8504839
ENSMUSG00000028970	chr5	8847994	8916389
ENSMUSG00000028883	chr5	13175288	13653578
ENSMUSG00000028864	chr5	16758041	16828178
ENSMUSG00000028780	chr5	17779219	17935648
ENSMUSG00000101013	chr5	21155987	21161396
ENSMUSG00000028771	chr5	21191642	21261050
ENSMUSG00000028932	chr5	21989254	22008796
ENSMUSG00000028995	chr5	24120274	24235747
ENSMUSG00000028986	chr5	24305567	24366228
ENSMUSG00000028973	chr5	24598639	24616950
ENSMUSG00000028969	chr5	24612595	24628594
ENSMUSG00000028962	chr5	24628835	24645948
ENSMUSG00000028959	chr5	24641746	24650298
ENSMUSG00000028953	chr5	24769444	24792346
ENSMUSG00000028949	chr5	24795816	24829409
ENSMUSG00000028954	chr5	24890530	24915416
ENSMUSG00000028945	chr5	25007821	25047622
ENSMUSG00000028944	chr5	25067728	25306439
ENSMUSG00000010721	chr5	29434800	29583510
ENSMUSG00000025747	chr5	30263198	30278633
ENSMUSG00000025745	chr5	30323302	30360187
ENSMUSG00000013622	chr5	31205656	31211976
ENSMUSG00000053134	chr5	31671908	31685151
ENSMUSG00000014956	chr5	32603063	32674777
ENSMUSG00000014932	chr5	32768101	32845256
ENSMUSG00000054280	chr5	32946550	33011694
ENSMUSG00000011034	chr5	33261563	33320214
ENSMUSG00000054252	chr5	33879018	33894412
ENSMUSG00000052783	chr5	34817639	34914169
ENSMUSG00000055302	chr5	36951438	36954135
ENSMUSG00000015806	chr5	45590463	45607587
ENSMUSG00000015804	chr5	45677571	45698571
ENSMUSG00000015882	chr5	45854519	46015066
ENSMUSG00000031558	chr5	48140480	48465075
ENSMUSG00000054920	chr5	65264835	65325906
ENSMUSG00000054814	chr5	74133639	74229118
ENSMUSG00000055923	chr5	77021506	77053384
ENSMUSG00000055204	chr5	90375025	90514468
ENSMUSG00000034981	chr5	91665474	91774753
ENSMUSG00000034842	chr5	92479653	92566011
ENSMUSG00000034855	chr5	92494497	92496748
ENSMUSG00000034826	chr5	92563399	92583112
ENSMUSG00000034724	chr5	96218192	96312030
ENSMUSG00000034687	chr5	96521814	96932587
ENSMUSG00000034663	chr5	97145298	97239781
ENSMUSG00000035325	chr5	100509494	100564425
ENSMUSG00000097772	chr5	100568367	100578234
ENSMUSG00000035297	chr5	100666122	100695671
ENSMUSG00000035266	chr5	100909628	100946547
ENSMUSG00000016833	chr5	100946493	100955417
ENSMUSG00000035234	chr5	100950810	100968834
ENSMUSG00000034573	chr5	103573043	103747066
ENSMUSG00000034462	chr5	104607240	104654573
ENSMUSG00000097392	chr5	104656209	104702073
ENSMUSG00000054720	chr5	105666591	105760884
ENSMUSG00000033773	chr5	107745239	107809721
ENSMUSG00000011831	chr5	107892661	108022973
ENSMUSG00000033623	chr5	108596818	108654842
ENSMUSG00000013495	chr5	108777296	108805225
ENSMUSG00000008090	chr5	108840206	108858366
ENSMUSG00000033467	chr5	109702571	109706990
ENSMUSG00000033434	chr5	110251826	110256190
ENSMUSG00000014668	chr5	110283620	110323336
ENSMUSG00000033209	chr5	111027623	111437646
ENSMUSG00000025825	chr5	113910776	113917545
ENSMUSG00000054675	chr5	113931781	113938577
ENSMUSG00000014158	chr5	114760209	114796914
ENSMUSG00000011884	chr5	114807459	114829089
ENSMUSG00000009013	chr5	115429984	115452006
ENSMUSG00000032959	chr5	117420717	117425690
ENSMUSG00000032898	chr5	118114795	118148269
ENSMUSG00000032867	chr5	118203030	118293580
ENSMUSG00000032840	chr5	118383292	118404158
ENSMUSG00000018076	chr5	118698347	118903503
ENSMUSG00000018604	chr5	119806298	119822797
ENSMUSG00000032754	chr5	120649173	120672102
ENSMUSG00000032741	chr5	120672218	120726738
ENSMUSG00000054434	chr5	123206478	123259485
ENSMUSG00000008348	chr5	125462603	125467286
ENSMUSG00000034211	chr5	129792545	129799621
ENSMUSG00000025538	chr5	129875791	129894429
ENSMUSG00000025537	chr5	129891125	129927390
ENSMUSG00000025534	chr5	130017852	130031903
ENSMUSG00000025533	chr5	130040099	130058088
ENSMUSG00000025532	chr5	130058119	130089644
ENSMUSG00000034118	chr5	130102167	130164574
